key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-414,Developers Analysis,2020-07-03T12:33:55.638-0300,3721958,2020-07-03T13:50:44.231-0300,Backlog,In Progress,Change Type of Integration - Integration CPG
RTICSD-414,Developers Analysis,2020-07-03T12:33:55.638-0300,3728953,2020-07-03T23:29:39.920-0300,In Progress,Waiting for response,Change Type of Integration - Integration CPG
RTICSD-414,Developers Analysis,2020-07-03T12:33:55.638-0300,3730199,2020-07-05T13:42:51.218-0300,Waiting for response,QA,Change Type of Integration - Integration CPG
RTICSD-414,Developers Analysis,2020-07-03T12:33:55.638-0300,3730200,2020-07-05T13:43:10.761-0300,QA,Developers Analysis,Change Type of Integration - Integration CPG
RTICSD-413,Waiting for response,2020-07-03T10:39:10.078-0300,3724308,2020-07-03T16:22:59.887-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-413,Waiting for response,2020-07-03T10:39:10.078-0300,3725920,2020-07-03T17:59:03.560-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-412,Concluído,2020-07-02T21:08:02.124-0300,3724063,2020-07-03T16:00:16.602-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-412,Concluído,2020-07-02T21:08:02.124-0300,3726716,2020-07-03T18:54:11.997-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-411,Concluído,2020-07-02T21:06:03.839-0300,3728225,2020-07-03T21:04:47.260-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-411,Concluído,2020-07-02T21:06:03.839-0300,3728228,2020-07-03T21:04:59.987-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-410,Concluído,2020-07-02T21:04:52.184-0300,3725504,2020-07-03T17:30:22.711-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
